"customer_city","customer_state","customer_count","total_revenue","avg_revenue_per_customer"
biritiba-mirim,SP,10,1579.77,157.9770000000000000
barroso,MG,11,1575.52,143.2290909090909091
morada nova,CE,9,1571.60,174.6222222222222222
candeias,BA,13,1565.65,120.4346153846153846
santana do acarau,CE,4,1563.58,390.8950000000000000
girua,RS,10,1560.97,156.0970000000000000
altos,PI,5,1560.87,312.1740000000000000
vargem grande do sul,SP,14,1560.05,111.4321428571428571
italva,RJ,14,1556.26,111.1614285714285714
itaiopolis,SC,8,1555.42,194.4275000000000000
sao miguel arcanjo,SP,13,1554.39,119.5684615384615385
corinto,MG,11,1545.63,140.5118181818181818
chapada,RS,4,1545.33,386.3325000000000000
santo antonio da platina,PR,12,1544.84,128.7366666666666667
santana,AP,9,1543.94,171.5488888888888889
nova prata,RS,16,1541.25,96.3281250000000000
pinhalzinho,SP,12,1537.96,128.1633333333333333
fatima do sul,MS,4,1536.86,384.2150000000000000
saloa,PE,3,1536.08,512.0266666666666667
mirandopolis,SP,13,1535.41,118.1084615384615385
tabapua,SP,12,1535.21,127.9341666666666667
ibitita,BA,1,1534.58,1534.5800000000000000
iracemapolis,SP,18,1532.50,85.1388888888888889
campinas do sul,RS,6,1531.24,255.2066666666666667
sao jose do vale do rio preto,RJ,12,1527.66,127.3050000000000000
boa esperanca,RJ,1,1527.51,1527.5100000000000000
sao luis de montes belos,GO,8,1524.13,190.5162500000000000
itabera,SP,7,1522.98,217.5685714285714286
itaqui,RS,9,1522.33,169.1477777777777778
bocaina,SP,6,1520.62,253.4366666666666667
pacajus,CE,6,1520.00,253.3333333333333333
sao miguel do araguaia,GO,5,1518.03,303.6060000000000000
santa gertrudes,SP,12,1516.74,126.3950000000000000
barbalha,CE,6,1515.41,252.5683333333333333
sao miguel do guama,PA,5,1514.40,302.8800000000000000
buerarema,BA,4,1510.32,377.5800000000000000
mendes,RJ,12,1509.99,125.8325000000000000
astolfo dutra,MG,11,1509.69,137.2445454545454545
agudos,SP,16,1508.95,94.3093750000000000
ivoti,RS,13,1507.43,115.9561538461538462
pontal,SP,13,1506.63,115.8946153846153846
sombrio,SC,11,1506.61,136.9645454545454545
altinopolis,SP,4,1506.04,376.5100000000000000
tres passos,RS,11,1503.72,136.7018181818181818
guadalupe,PI,4,1502.76,375.6900000000000000
aluminio,SP,13,1500.64,115.4338461538461538
casa branca,SP,13,1500.45,115.4192307692307692
parelhas,RN,4,1496.80,374.2000000000000000
conceicao do araguaia,PA,7,1494.60,213.5142857142857143
arroio do sal,RS,8,1490.20,186.2750000000000000
apiuna,SC,7,1484.80,212.1142857142857143
divinolandia,SP,7,1482.90,211.8428571428571429
alcobaca,BA,4,1481.90,370.4750000000000000
sao goncalo do sapucai,MG,10,1480.84,148.0840000000000000
espumoso,RS,7,1480.46,211.4942857142857143
tapiramuta,BA,2,1476.90,738.4500000000000000
upanema,RN,3,1476.25,492.0833333333333333
teodoro sampaio,SP,12,1473.91,122.8258333333333333
capinzal,SC,10,1469.23,146.9230000000000000
sao miguel do iguacu,PR,10,1468.23,146.8230000000000000
forquilhinha,SC,13,1468.18,112.9369230769230769
coaraci,BA,4,1468.12,367.0300000000000000
santana do araguaia,PA,3,1467.91,489.3033333333333333
turmalina,MG,9,1467.05,163.0055555555555556
joao camara,RN,2,1466.81,733.4050000000000000
rio pomba,MG,6,1464.86,244.1433333333333333
dores de campos,MG,8,1464.19,183.0237500000000000
neropolis,GO,7,1464.02,209.1457142857142857
palmeira dos indios,AL,8,1463.46,182.9325000000000000
guarai,TO,4,1459.37,364.8425000000000000
botelhos,MG,8,1456.47,182.0587500000000000
duartina,SP,10,1453.30,145.3300000000000000
caarapo,MS,4,1447.93,361.9825000000000000
celso ramos,SC,2,1440.96,720.4800000000000000
descalvado,SP,13,1439.57,110.7361538461538462
sao simao,SP,10,1439.29,143.9290000000000000
ouroeste,SP,11,1437.57,130.6881818181818182
braganca,PA,9,1437.27,159.6966666666666667
papucaia,RJ,10,1435.70,143.5700000000000000
bonfinopolis de minas,MG,2,1433.75,716.8750000000000000
sao francisco,MG,12,1431.70,119.3083333333333333
itapui,SP,7,1430.89,204.4128571428571429
ibirama,SC,13,1429.20,109.9384615384615385
assis chateaubriand,PR,12,1426.30,118.8583333333333333
areado,MG,7,1425.55,203.6500000000000000
gravatal,SC,6,1418.28,236.3800000000000000
cedral,MA,3,1416.52,472.1733333333333333
ubajara,CE,3,1414.63,471.5433333333333333
cocal,PI,8,1413.88,176.7350000000000000
realeza,PR,6,1412.76,235.4600000000000000
ipaussu,SP,7,1409.26,201.3228571428571429
fronteiras,PI,3,1408.84,469.6133333333333333
conchas,SP,10,1408.56,140.8560000000000000
primeiro de maio,PR,7,1407.61,201.0871428571428571
mamanguape,PB,6,1406.47,234.4116666666666667
dois corregos,SP,11,1402.59,127.5081818181818182
campinorte,GO,7,1400.61,200.0871428571428571
bonito,PE,5,1398.84,279.7680000000000000
vera cruz,BA,7,1394.82,199.2600000000000000
campestre da serra,RS,2,1390.06,695.0300000000000000
goitacazes,RJ,11,1388.24,126.2036363636363636
herval d'oeste,SC,9,1386.93,154.1033333333333333
santo augusto,RS,9,1386.88,154.0977777777777778
carandai,MG,11,1386.44,126.0400000000000000
balsamo,SP,6,1383.48,230.5800000000000000
perdizes,MG,8,1382.50,172.8125000000000000
campina grande do sul,PR,10,1382.49,138.2490000000000000
rio negrinho,SC,13,1381.73,106.2869230769230769
itariri,SP,6,1378.73,229.7883333333333333
silvania,GO,7,1373.15,196.1642857142857143
pirpirituba,PB,1,1372.25,1372.2500000000000000
confresa,MT,7,1371.62,195.9457142857142857
guararema,SP,11,1370.41,124.5827272727272727
areal,RJ,7,1364.63,194.9471428571428571
tapejara,RS,9,1364.49,151.6100000000000000
tucuma,PA,4,1362.99,340.7475000000000000
coruripe,AL,3,1359.09,453.0300000000000000
raul soares,MG,12,1357.77,113.1475000000000000
sao lourenco da serra,SP,12,1357.03,113.0858333333333333
schroeder,SC,9,1356.76,150.7511111111111111
sousa,PB,7,1356.43,193.7757142857142857
canarana,MT,10,1356.31,135.6310000000000000
barra do corda,MA,7,1354.34,193.4771428571428571
delmiro gouveia,AL,4,1353.71,338.4275000000000000
domingos martins,ES,9,1353.63,150.4033333333333333
sao joao evangelista,MG,7,1353.08,193.2971428571428571
barao ataliba nogueira,SP,1,1351.51,1351.5100000000000000
aripuana,MT,8,1348.38,168.5475000000000000
inhambupe,BA,7,1346.98,192.4257142857142857
pirangi,SP,8,1346.43,168.3037500000000000
parapua,SP,8,1345.83,168.2287500000000000
maracai,SP,8,1345.60,168.2000000000000000
chapadao do ceu,GO,8,1343.25,167.9062500000000000
barra longa,MG,1,1341.55,1341.5500000000000000
monte belo,MG,5,1340.30,268.0600000000000000
jaguaruana,CE,4,1339.30,334.8250000000000000
reriutaba,CE,3,1331.63,443.8766666666666667
campo maior,PI,7,1329.70,189.9571428571428571
coroata,MA,9,1328.47,147.6077777777777778
guara,SP,8,1328.20,166.0250000000000000
salto de pirapora,SP,13,1326.18,102.0138461538461538
sumidouro,RJ,10,1325.97,132.5970000000000000
barcarena,PA,6,1323.67,220.6116666666666667
pompeu,MG,11,1321.67,120.1518181818181818
frederico westphalen,RS,14,1319.89,94.2778571428571429
saltinho,SP,5,1316.35,263.2700000000000000
sarzedo,MG,18,1316.33,73.1294444444444444
santa teresa,ES,10,1313.65,131.3650000000000000
urupes,SP,10,1313.27,131.3270000000000000
boa esperanca,ES,7,1312.95,187.5642857142857143
butia,RS,6,1312.61,218.7683333333333333
salesopolis,SP,10,1310.96,131.0960000000000000
sao joaquim,SC,9,1310.39,145.5988888888888889
alhandra,PB,2,1307.91,653.9550000000000000
conceicao do coite,BA,9,1307.04,145.2266666666666667
acreuna,GO,7,1306.45,186.6357142857142857
riacho de santana,BA,4,1302.47,325.6175000000000000
macau,RN,5,1297.69,259.5380000000000000
raposos,MG,11,1297.31,117.9372727272727273
venturosa,PE,2,1297.06,648.5300000000000000
catu de abrantes,BA,2,1295.86,647.9300000000000000
rosario do sul,RS,14,1292.52,92.3228571428571429
mangaratiba,RJ,13,1292.46,99.4200000000000000
charqueada,SP,10,1290.88,129.0880000000000000
itaberaba,BA,10,1286.19,128.6190000000000000
araquari,SC,11,1285.36,116.8509090909090909
quixere,CE,3,1281.01,427.0033333333333333
arapoti,PR,9,1280.91,142.3233333333333333
rolante,RS,10,1280.29,128.0290000000000000
toritama,PE,5,1277.99,255.5980000000000000
capinopolis,MG,11,1277.95,116.1772727272727273
costa rica,MS,12,1273.90,106.1583333333333333
prata,MG,10,1270.36,127.0360000000000000
brotas,SP,12,1269.88,105.8233333333333333
camacan,BA,6,1269.40,211.5666666666666667
valenca do piaui,PI,4,1268.65,317.1625000000000000
santana do mundau,AL,3,1268.01,422.6700000000000000
passagem,PB,1,1265.83,1265.8300000000000000
ibaiti,PR,11,1264.14,114.9218181818181818
colinas,MA,3,1263.40,421.1333333333333333
jijoca de jericoacoara,CE,4,1262.22,315.5550000000000000
alto paraiso,RO,1,1260.76,1260.7600000000000000
coari,AM,1,1259.04,1259.0400000000000000
aguas da prata,SP,10,1257.57,125.7570000000000000
cristina,MG,8,1256.38,157.0475000000000000
itapejara d'oeste,PR,6,1255.92,209.3200000000000000
cascavel,CE,5,1254.75,250.9500000000000000
capao do leao,RS,4,1254.66,313.6650000000000000
arapora,MG,5,1253.37,250.6740000000000000
santo antonio do pinhal,SP,2,1252.69,626.3450000000000000
hidrolandia,CE,7,1251.75,178.8214285714285714
taua,CE,10,1251.37,125.1370000000000000
terra de areia,RS,5,1250.93,250.1860000000000000
garibaldi,RS,10,1248.25,124.8250000000000000
macaubas,BA,9,1248.09,138.6766666666666667
santa maria madalena,RJ,7,1247.45,178.2071428571428571
bom jesus do araguaia,MT,1,1247.29,1247.2900000000000000
caraubas,RN,3,1246.76,415.5866666666666667
poco fundo,MG,8,1244.88,155.6100000000000000
jaguarao,RS,8,1242.01,155.2512500000000000
entre rios,BA,6,1241.52,206.9200000000000000
lajedo,PE,7,1237.92,176.8457142857142857
sao jose da lapa,MG,8,1237.52,154.6900000000000000
goias,GO,8,1236.73,154.5912500000000000
pontal do parana,PR,8,1235.05,154.3812500000000000
prado,BA,5,1234.59,246.9180000000000000
buritama,SP,9,1234.42,137.1577777777777778
engenheiro coelho,SP,13,1234.24,94.9415384615384615
acailandia,MA,7,1233.48,176.2114285714285714
rio das pedras,SP,11,1231.52,111.9563636363636364
japuiba,RJ,5,1230.85,246.1700000000000000
ervalia,MG,7,1230.45,175.7785714285714286
sao lourenco do oeste,SC,11,1229.93,111.8118181818181818
alto araguaia,MT,5,1228.13,245.6260000000000000
santo estevao,BA,5,1226.69,245.3380000000000000
arroio dos ratos,RS,9,1226.52,136.2800000000000000
pilar do sul,SP,12,1225.32,102.1100000000000000
brodowski,SP,10,1224.59,122.4590000000000000
goianapolis,GO,4,1224.04,306.0100000000000000
brejo do cruz,PB,1,1217.78,1217.7800000000000000
rubiataba,GO,7,1210.69,172.9557142857142857
serranopolis,GO,3,1210.27,403.4233333333333333
uruara,PA,6,1199.13,199.8550000000000000
vera cruz,SP,10,1198.44,119.8440000000000000
rio brilhante,MS,11,1195.16,108.6509090909090909
xangri-la,RS,8,1192.87,149.1087500000000000
mar de espanha,MG,9,1191.57,132.3966666666666667
taruma,SP,9,1189.95,132.2166666666666667
guarei,SP,5,1187.44,237.4880000000000000
mirai,MG,9,1186.53,131.8366666666666667
monte aprazivel,SP,10,1186.50,118.6500000000000000
nova prata do iguacu,PR,6,1185.19,197.5316666666666667
extrema,RO,4,1184.52,296.1300000000000000
sao goncalo do amarante,RN,7,1184.28,169.1828571428571429
pinheiros,ES,8,1182.51,147.8137500000000000
tabira,PE,5,1178.89,235.7780000000000000
fundao,ES,5,1177.95,235.5900000000000000
lagoa grande,PE,4,1177.19,294.2975000000000000
tarabai,SP,5,1174.40,234.8800000000000000
balneario pinhal,RS,8,1171.94,146.4925000000000000
nazare,BA,4,1170.44,292.6100000000000000
gouveia,MG,4,1167.23,291.8075000000000000
aimores,MG,10,1166.62,116.6620000000000000
primavera,SP,9,1166.01,129.5566666666666667
dianopolis,TO,7,1165.41,166.4871428571428571
cacu,GO,8,1163.53,145.4412500000000000
cajobi,SP,8,1162.89,145.3612500000000000
otacilio costa,SC,5,1162.85,232.5700000000000000
pauliceia,SP,3,1162.10,387.3666666666666667
arceburgo,MG,7,1160.83,165.8328571428571429
catas altas,MG,5,1160.35,232.0700000000000000
treze tilias,SC,11,1159.36,105.3963636363636364
sao jose da barra,MG,6,1158.11,193.0183333333333333
caicara do norte,RN,1,1157.41,1157.4100000000000000
chavantes,SP,12,1154.14,96.1783333333333333
itaberai,GO,6,1151.08,191.8466666666666667
bonito,MS,8,1150.97,143.8712500000000000
seabra,BA,6,1148.26,191.3766666666666667
lucelia,SP,12,1147.89,95.6575000000000000
patrocinio paulista,SP,2,1147.46,573.7300000000000000
cabrobo,PE,6,1146.91,191.1516666666666667
colorado,PR,6,1145.85,190.9750000000000000
ecoporanga,ES,8,1145.83,143.2287500000000000
encruzilhada do sul,RS,8,1142.59,142.8237500000000000
bom jesus,PI,4,1142.14,285.5350000000000000
pedreiras,MA,3,1141.76,380.5866666666666667
bom principio,RS,6,1140.75,190.1250000000000000
sapezal,MT,8,1139.52,142.4400000000000000
ortigueira,PR,8,1139.45,142.4312500000000000
bayeux,PB,7,1139.41,162.7728571428571429
santa quiteria,CE,5,1139.12,227.8240000000000000
luis antonio,SP,7,1131.43,161.6328571428571429
crixas,GO,8,1129.44,141.1800000000000000
fervedouro,MG,8,1128.61,141.0762500000000000
piratuba,SC,6,1128.48,188.0800000000000000
nova roma do sul,RS,1,1127.29,1127.2900000000000000
sao jose do calcado,ES,6,1127.26,187.8766666666666667
cruzeiro do sul,AC,3,1127.06,375.6866666666666667
jeremoabo,BA,6,1126.37,187.7283333333333333
assai,PR,6,1124.94,187.4900000000000000
morrinhos,CE,4,1124.79,281.1975000000000000
picarra,PA,1,1122.86,1122.8600000000000000
pedregulho,SP,2,1122.18,561.0900000000000000
concordia do para,PA,3,1120.90,373.6333333333333333
quixeramobim,CE,6,1119.97,186.6616666666666667
santo antonio do aracangua,SP,1,1117.99,1117.9900000000000000
serrana,SP,13,1115.27,85.7900000000000000
conceicao da aparecida,MG,6,1115.03,185.8383333333333333
bom jesus,GO,8,1112.53,139.0662500000000000
porciuncula,RJ,8,1112.13,139.0162500000000000
campos de julio,MT,6,1110.35,185.0583333333333333
paicandu,PR,10,1106.22,110.6220000000000000
itamonte,MG,10,1105.06,110.5060000000000000
buri,SP,10,1103.39,110.3390000000000000
sao sebastiao da grama,SP,4,1102.02,275.5050000000000000
godoy moreira,PR,1,1101.83,1101.8300000000000000
pinhao,PR,8,1101.52,137.6900000000000000
dourado,SP,8,1098.35,137.2937500000000000
iaciara,GO,4,1098.31,274.5775000000000000
cambara,PR,10,1096.06,109.6060000000000000
tres marias,MG,13,1095.90,84.3000000000000000
cardoso,SP,6,1095.32,182.5533333333333333
potirendaba,SP,9,1095.10,121.6777777777777778
benedito novo,SC,6,1093.77,182.2950000000000000
virginopolis,MG,8,1092.22,136.5275000000000000
pecanha,MG,5,1091.80,218.3600000000000000
cosmorama,SP,6,1091.55,181.9250000000000000
estiva gerbi,SP,7,1090.98,155.8542857142857143
candeias,MG,10,1090.18,109.0180000000000000
regente feijo,SP,10,1088.31,108.8310000000000000
ipiau,BA,8,1088.03,136.0037500000000000
matupa,MT,7,1087.87,155.4100000000000000
itapoa,SC,9,1087.75,120.8611111111111111
prudentopolis,PR,7,1085.17,155.0242857142857143
urussanga,SC,10,1083.08,108.3080000000000000
simao dias,SE,7,1082.91,154.7014285714285714
pradopolis,SP,10,1081.31,108.1310000000000000
fronteira,MG,6,1079.53,179.9216666666666667
porto belo,SC,9,1079.32,119.9244444444444444
inhapi,AL,2,1075.10,537.5500000000000000
oriente,SP,3,1075.02,358.3400000000000000
lagoa dos gatos,PE,3,1073.47,357.8233333333333333
barra da estiva,BA,7,1072.68,153.2400000000000000
sao francisco,SE,3,1072.06,357.3533333333333333
eugenopolis,MG,5,1071.39,214.2780000000000000
condado,PE,4,1071.11,267.7775000000000000
colonia jordaozinho,PR,2,1071.03,535.5150000000000000
bom jardim de minas,MG,8,1068.38,133.5475000000000000
porecatu,PR,10,1068.03,106.8030000000000000
cristalandia,TO,3,1067.93,355.9766666666666667
dormentes,PE,2,1067.73,533.8650000000000000
paraopeba,MG,9,1066.74,118.5266666666666667
palotina,PR,10,1065.77,106.5770000000000000
sao joao,PR,11,1064.79,96.7990909090909091
nova santa rita,RS,5,1064.00,212.8000000000000000
borda da mata,MG,6,1062.25,177.0416666666666667
nao-me-toque,RS,7,1062.10,151.7285714285714286
sao benedito,CE,4,1058.76,264.6900000000000000
coronel vivida,PR,11,1058.59,96.2354545454545455
goianira,GO,8,1057.77,132.2212500000000000
sao miguel dos campos,AL,2,1054.11,527.0550000000000000
alfredo chaves,ES,7,1052.61,150.3728571428571429
jordania,MG,5,1047.20,209.4400000000000000
cacapava do sul,RS,5,1044.83,208.9660000000000000
icem,SP,9,1043.64,115.9600000000000000
serafina correa,RS,9,1042.38,115.8200000000000000
colonia castrolanda,PR,3,1041.70,347.2333333333333333
regeneracao,PI,6,1041.64,173.6066666666666667
aguas belas,PE,6,1041.40,173.5666666666666667
jacaraci,BA,4,1040.27,260.0675000000000000
pinhalzinho,SC,9,1040.20,115.5777777777777778
lago da pedra,MA,5,1038.96,207.7920000000000000
munhoz de melo,PR,4,1037.26,259.3150000000000000
pesqueira,PE,9,1036.55,115.1722222222222222
varre-sai,RJ,4,1035.37,258.8425000000000000
itacare,BA,8,1032.79,129.0987500000000000
quedas do iguacu,PR,8,1030.44,128.8050000000000000
campo verde,MT,10,1029.69,102.9690000000000000
capivari de baixo,SC,5,1028.73,205.7460000000000000
sao domingos do norte,ES,7,1028.50,146.9285714285714286
itaobim,MG,6,1026.56,171.0933333333333333
abadiania,GO,1,1025.52,1025.5200000000000000
bela cruz,CE,4,1024.47,256.1175000000000000
alvinopolis,MG,11,1020.96,92.8145454545454545
monte santo de minas,MG,9,1018.00,113.1111111111111111
canavieiras,BA,6,1017.29,169.5483333333333333
brazopolis,MG,6,1015.50,169.2500000000000000
california da barra,RJ,6,1014.50,169.0833333333333333
sao goncalo do rio abaixo,MG,6,1013.43,168.9050000000000000
paulistana,PI,3,1013.26,337.7533333333333333
pedro de toledo,SP,9,1013.09,112.5655555555555556
figueira,PR,4,1012.87,253.2175000000000000
holambra ii,SP,5,1012.82,202.5640000000000000
canelinha,SC,4,1012.72,253.1800000000000000
boa esperanca do sul,SP,11,1012.62,92.0563636363636364
santa cecilia,SC,6,1011.43,168.5716666666666667
palma sola,SC,4,1010.55,252.6375000000000000
taiuva,SP,5,1010.13,202.0260000000000000
itarana,ES,3,1010.02,336.6733333333333333
itaju,SP,3,1008.37,336.1233333333333333
sertanopolis,PR,4,1008.14,252.0350000000000000
mozarlandia,GO,7,1008.04,144.0057142857142857
paco do lumiar,MA,7,1005.93,143.7042857142857143
candido godoi,RS,1,1005.84,1005.8400000000000000
santa fe,PR,5,1005.44,201.0880000000000000
sao miguel,RN,4,1004.52,251.1300000000000000
capela do alto,SP,3,1004.25,334.7500000000000000
juquia,SP,10,1003.36,100.3360000000000000
itapuranga,GO,7,1003.26,143.3228571428571429
itaja,GO,3,1001.90,333.9666666666666667
grao mogol,MG,3,999.30,333.1000000000000000
cansancao,BA,7,998.37,142.6242857142857143
campo alegre,AL,2,997.96,498.9800000000000000
conservatoria,RJ,4,997.19,249.2975000000000000
faxinal,PR,9,995.73,110.6366666666666667
guapiacu,SP,6,995.55,165.9250000000000000
trancoso,BA,6,995.19,165.8650000000000000
sao marcos,RS,9,994.76,110.5288888888888889
bom sucesso,MG,4,994.70,248.6750000000000000
bom jesus,SC,2,993.16,496.5800000000000000
santo antonio do descoberto,GO,5,992.88,198.5760000000000000
miracatu,SP,5,991.81,198.3620000000000000
lavras da mangabeira,CE,2,986.46,493.2300000000000000
rodeio,SC,7,985.95,140.8500000000000000
bilac,SP,9,985.41,109.4900000000000000
irapuru,SP,6,985.29,164.2150000000000000
julio mesquita,SP,2,984.59,492.2950000000000000
julio de castilhos,RS,10,983.04,98.3040000000000000
angatuba,SP,8,983.03,122.8787500000000000
cruzeiro do oeste,PR,7,982.50,140.3571428571428571
urania,SP,4,980.28,245.0700000000000000
guaira,PR,7,979.80,139.9714285714285714
goiana,MG,4,977.22,244.3050000000000000
arraial d'ajuda,BA,8,975.87,121.9837500000000000
sao goncalo do para,MG,3,975.85,325.2833333333333333
borborema,SP,9,975.55,108.3944444444444444
mairi,BA,2,974.31,487.1550000000000000
guaranesia,MG,9,972.83,108.0922222222222222
nova trento,SC,6,972.21,162.0350000000000000
santa rita do araguaia,GO,7,972.03,138.8614285714285714
conceicao do rio verde,MG,5,970.15,194.0300000000000000
tucano,BA,8,969.58,121.1975000000000000
alpinopolis,MG,7,969.45,138.4928571428571429
novo cruzeiro,MG,9,968.87,107.6522222222222222
grajau,MA,5,965.51,193.1020000000000000
goianesia do para,PA,3,964.71,321.5700000000000000
moreno,PE,5,960.09,192.0180000000000000
arinos,MG,8,959.82,119.9775000000000000
portao,RS,10,959.46,95.9460000000000000
sao jose de mipibu,RN,3,956.19,318.7300000000000000
amarante,PI,1,953.84,953.8400000000000000
santa branca,SP,9,953.35,105.9277777777777778
inaciolandia,GO,3,952.92,317.6400000000000000
jacare,SP,8,952.58,119.0725000000000000
alcinopolis,MS,6,952.35,158.7250000000000000
espigao do oeste,RO,6,951.17,158.5283333333333333
paudalho,PE,2,950.14,475.0700000000000000
cidade gaucha,PR,5,950.10,190.0200000000000000
planaltina,GO,10,949.34,94.9340000000000000
uniao dos palmares,AL,2,949.23,474.6150000000000000
alto parnaiba,MA,5,948.10,189.6200000000000000
tocantinopolis,TO,7,947.28,135.3257142857142857
santana do cariri,CE,3,946.68,315.5600000000000000
nova londrina,PR,9,946.56,105.1733333333333333
sao luis do paraitinga,SP,3,945.99,315.3300000000000000
piquete,SP,9,945.86,105.0955555555555556
resplendor,MG,10,944.60,94.4600000000000000
areiopolis,SP,3,944.24,314.7466666666666667
matozinhos,MG,12,944.16,78.6800000000000000
barra do bugres,MT,4,943.65,235.9125000000000000
santana do serido,RN,2,943.37,471.6850000000000000
marilac,MG,1,942.78,942.7800000000000000
rio manso,MG,5,939.68,187.9360000000000000
queimadas,BA,4,937.57,234.3925000000000000
aracariguama,SP,10,937.07,93.7070000000000000
nazare paulista,SP,7,934.33,133.4757142857142857
tapes,RS,6,934.26,155.7100000000000000
sao mateus do maranhao,MA,3,930.70,310.2333333333333333
lagoa da confusao,TO,5,929.74,185.9480000000000000
barra de sao francisco,ES,10,929.28,92.9280000000000000
mimoso do sul,ES,10,928.89,92.8890000000000000
dores do indaia,MG,7,928.86,132.6942857142857143
mambore,PR,8,928.47,116.0587500000000000
campos belos,GO,7,927.53,132.5042857142857143
sao bernardo,MA,3,923.39,307.7966666666666667
brasilia de minas,MG,9,922.92,102.5466666666666667
lagoa formosa,MG,7,921.92,131.7028571428571429
mambai,GO,2,921.90,460.9500000000000000
ruy barbosa,BA,7,921.15,131.5928571428571429
datas,MG,1,920.94,920.9400000000000000
lima duarte,MG,6,920.86,153.4766666666666667
presidente getulio,SC,7,920.83,131.5471428571428571
getulio vargas,RS,8,919.94,114.9925000000000000
santa isabel do para,PA,6,919.57,153.2616666666666667
juru,PB,1,919.38,919.3800000000000000
buriticupu,MA,5,919.03,183.8060000000000000
guaicara,SP,8,917.56,114.6950000000000000
itaguari,GO,1,913.70,913.7000000000000000
imbituva,PR,8,913.66,114.2075000000000000
trajano de moraes,RJ,8,913.04,114.1300000000000000
arrozal,RJ,3,912.81,304.2700000000000000
tarumirim,MG,4,912.25,228.0625000000000000
piranhas,GO,4,911.81,227.9525000000000000
joao neiva,ES,8,911.40,113.9250000000000000
ibira,SP,7,911.03,130.1471428571428571
tres coroas,RS,6,910.48,151.7466666666666667
jaru,RO,6,910.26,151.7100000000000000
cachoeira do campo,MG,2,909.84,454.9200000000000000
boninal,BA,2,909.80,454.9000000000000000
lutecia,SP,1,908.84,908.8400000000000000
chui,RS,5,908.16,181.6320000000000000
cerro largo,RS,7,907.81,129.6871428571428571
mallet,PR,6,907.63,151.2716666666666667
avanhandava,SP,7,905.33,129.3328571428571429
joanopolis,SP,6,904.51,150.7516666666666667
sao joao do sul,SC,2,902.37,451.1850000000000000
acopiara,CE,7,901.67,128.8100000000000000
varjota,CE,4,901.18,225.2950000000000000
carlopolis,PR,6,901.18,150.1966666666666667
sao cristovao,SE,7,900.43,128.6328571428571429
salto do lontra,PR,4,900.11,225.0275000000000000
candiota,RS,4,899.60,224.9000000000000000
igarapava,SP,7,897.02,128.1457142857142857
nuporanga,SP,3,895.41,298.4700000000000000
icatu,MA,1,892.90,892.9000000000000000
santa helena,MA,3,892.14,297.3800000000000000
amambai,MS,6,890.69,148.4483333333333333
dois irmaos do buriti,MS,3,890.15,296.7166666666666667
capela,SE,3,889.17,296.3900000000000000
cuite,PB,4,887.22,221.8050000000000000
jacupiranga,SP,5,885.57,177.1140000000000000
ubaira,BA,6,884.91,147.4850000000000000
rio pardo,RS,6,884.86,147.4766666666666667
santa rita de caldas,MG,6,882.22,147.0366666666666667
conde,BA,2,881.52,440.7600000000000000
rio paranaiba,MG,9,881.48,97.9422222222222222
lagoa do carro,PE,2,880.78,440.3900000000000000
ze doca,MA,5,878.92,175.7840000000000000
barra do choca,BA,3,877.49,292.4966666666666667
ilhota,SC,4,877.22,219.3050000000000000
maracas,BA,5,877.09,175.4180000000000000
campos borges,RS,3,877.04,292.3466666666666667
papanduva,SC,8,876.65,109.5812500000000000
serro,MG,2,876.62,438.3100000000000000
cidade ocidental,GO,8,876.57,109.5712500000000000
sao pedro dos ferros,MG,4,875.73,218.9325000000000000
colniza,MT,3,875.49,291.8300000000000000
taguai,SP,10,873.56,87.3560000000000000
seara,SC,6,873.34,145.5566666666666667
campina verde,MG,10,868.85,86.8850000000000000
guapo,GO,6,868.70,144.7833333333333333
bicas,MG,7,868.55,124.0785714285714286
formoso,MG,2,867.10,433.5500000000000000
arataca,BA,1,865.78,865.7800000000000000
virgem da lapa,MG,3,864.44,288.1466666666666667
laurentino,SC,5,863.27,172.6540000000000000
marmeleiro,PR,7,862.98,123.2828571428571429
jaguaribe,CE,5,861.80,172.3600000000000000
araguatins,TO,5,859.90,171.9800000000000000
vila muriqui,RJ,7,856.45,122.3500000000000000
murutinga do sul,SP,2,855.71,427.8550000000000000
bananal,SP,6,855.71,142.6183333333333333
chapada dos guimaraes,MT,4,854.78,213.6950000000000000
goiana,PE,9,853.96,94.8844444444444444
itajuipe,BA,3,852.28,284.0933333333333333
vere,PR,3,848.97,282.9900000000000000
morretes,PR,4,848.92,212.2300000000000000
paraiso,SP,5,848.74,169.7480000000000000
echapora,SP,2,847.25,423.6250000000000000
cafelandia,SP,8,846.20,105.7750000000000000
ribeirao bonito,SP,7,846.12,120.8742857142857143
itirucu,BA,3,845.37,281.7900000000000000
viana,MA,5,845.14,169.0280000000000000
sao joao d'alianca,GO,3,844.86,281.6200000000000000
alfredo wagner,SC,2,844.67,422.3350000000000000
pedralva,MG,3,844.32,281.4400000000000000
floresta,PR,5,844.09,168.8180000000000000
igarata,SP,5,843.87,168.7740000000000000
matias olimpio,PI,1,841.40,841.4000000000000000
sandolandia,TO,1,841.28,841.2800000000000000
carbonita,MG,4,841.12,210.2800000000000000
muzambinho,MG,9,840.63,93.4033333333333333
jucurutu,RN,4,839.83,209.9575000000000000
cananeia,SP,8,838.89,104.8612500000000000
