"customer_city","customer_state","customer_count","total_revenue","avg_revenue_per_customer"
viradouro,SP,18,2480.93,137.8294444444444444
santa rita do passa quatro,SP,18,2479.13,137.7294444444444444
bom jardim,RJ,14,2474.68,176.7628571428571429
quarai,RS,4,2474.15,618.5375000000000000
rio negro,PR,15,2472.91,164.8606666666666667
conchal,SP,19,2464.88,129.7305263157894737
espirito santo do pinhal,SP,18,2464.28,136.9044444444444444
taquaritinga do norte,PE,7,2461.90,351.7000000000000000
paraisopolis,MG,15,2453.22,163.5480000000000000
sao lourenco do sul,RS,14,2453.15,175.2250000000000000
barao de cocais,MG,18,2452.94,136.2744444444444444
bofete,SP,6,2441.59,406.9316666666666667
sarandi,PR,19,2441.11,128.4794736842105263
varzea da palma,MG,11,2440.97,221.9063636363636364
campos novos,SC,14,2438.37,174.1692857142857143
novo progresso,PA,5,2436.08,487.2160000000000000
igarassu,PE,13,2420.73,186.2100000000000000
nucleo residencial pilar,BA,8,2417.94,302.2425000000000000
palmeira,PR,13,2417.43,185.9561538461538462
cruzeiro do sul,RS,4,2410.37,602.5925000000000000
novo gama,GO,16,2410.24,150.6400000000000000
conselheiro pena,MG,15,2393.18,159.5453333333333333
anchieta,ES,14,2387.85,170.5607142857142857
mucuri,BA,7,2385.99,340.8557142857142857
camanducaia,MG,9,2381.76,264.6400000000000000
ipora,GO,15,2362.54,157.5026666666666667
lagarto,SE,11,2362.35,214.7590909090909091
palmas,PR,19,2359.92,124.2063157894736842
cachoeiras de macacu,RJ,21,2359.41,112.3528571428571429
sacramento,MG,13,2358.54,181.4261538461538462
ico,CE,8,2355.35,294.4187500000000000
tres de maio,RS,12,2334.85,194.5708333333333333
pianco,PB,1,2324.99,2324.9900000000000000
igarape,MG,11,2315.96,210.5418181818181818
santo antonio do monte,MG,15,2315.53,154.3686666666666667
guanhaes,MG,18,2313.75,128.5416666666666667
navirai,MS,8,2313.24,289.1550000000000000
sanharo,PE,3,2310.00,770.0000000000000000
uruacu,GO,17,2307.27,135.7217647058823529
bombinhas,SC,15,2305.30,153.6866666666666667
caetite,BA,10,2300.45,230.0450000000000000
cantagalo,RJ,17,2289.85,134.6970588235294118
antonina,PR,10,2285.40,228.5400000000000000
sao mateus do sul,PR,15,2284.52,152.3013333333333333
cambuci,RJ,8,2279.92,284.9900000000000000
cristalina,GO,8,2275.49,284.4362500000000000
sao sebastiao,AL,1,2269.98,2269.9800000000000000
pirai do sul,PR,7,2269.97,324.2814285714285714
miguelopolis,SP,14,2265.50,161.8214285714285714
visconde do rio branco,MG,19,2265.15,119.2184210526315789
tailandia,PA,4,2256.46,564.1150000000000000
pompeia,SP,17,2252.95,132.5264705882352941
nova esperanca do piria,PA,1,2252.66,2252.6600000000000000
caxambu,MG,17,2245.96,132.1152941176470588
timon,MA,15,2242.63,149.5086666666666667
santo anastacio,SP,17,2240.33,131.7841176470588235
paraiso do tocantins,TO,10,2238.86,223.8860000000000000
cedro de sao joao,SE,3,2235.98,745.3266666666666667
santa maria de jetiba,ES,15,2231.06,148.7373333333333333
barra velha,SC,16,2228.51,139.2818750000000000
campo belo,MG,21,2218.31,105.6338095238095238
piracanjuba,GO,10,2211.40,221.1400000000000000
pombal,PB,6,2210.20,368.3666666666666667
cesario lange,SP,13,2209.06,169.9276923076923077
mirassol d'oeste,MT,14,2207.23,157.6592857142857143
itanhandu,MG,14,2201.84,157.2742857142857143
goioere,PR,11,2191.01,199.1827272727272727
santa maria da vitoria,BA,13,2185.07,168.0823076923076923
cocal do sul,SC,4,2182.24,545.5600000000000000
triunfo,RS,11,2180.86,198.2600000000000000
lagoa grande,MG,4,2175.77,543.9425000000000000
esplanada,BA,6,2167.28,361.2133333333333333
morro agudo,SP,10,2163.53,216.3530000000000000
